feature,coefficient_standardized_space,coefficient_original_scale
intercept,58.49670703615743,-22.029972298407657
lmp_t_minus_1,31.458814613113674,0.4066798221026283
lmp_t_plus_1_minus_24,15.94606770394892,0.20715290629898606
load_t_minus_1,26.514897633244097,0.009816078654118553
load_t_plus_1_minus_24,-6.7846375335130595,-0.0025100483219332656
congestion_t_minus_1,18.283621017036896,0.4853846509844127
congestion_t_plus_1_minus_24,-5.529529636975053,-0.1487861945210288
temp_t_minus_1,5.7662074332468585,0.2974624788299433
temp_t_plus_1_minus_24,-1.6978833789958954,-0.08750246119393608
hour_sin,0.4262670528407638,0.6028095622250212
hour_cos,0.7907115873354147,1.1182779040114668
day_sin,0.5227037748460225,0.7404638724279664
day_cos,2.3734625656266193,3.3509815386858914
month_sin,0.5921274755682392,0.9640797759112107
month_cos,3.946936615604894,5.434982849587924
is_weekend_binary,-0.7310900162593679,-1.616743361463577
lmp_sma_24,14.643271103996044,0.3495988294987774
lmp_sma_6,-6.054291757899324,-0.10093855848290334
load_sma_24,-3.702500460620438,-0.0017361746367917136
load_sma_6,-11.360182895643328,-0.004398406431404577
congestion_sma_24,-6.143060723104461,-0.3072820364076112
congestion_sma_6,0.7406162271502748,0.024639336924946853
