model,split,n,mae,rmse,bias_mean_error,wape_pct,mase,directional_accuracy_pct
ridge_v0_1,test,2205,24.844602882750216,55.42450935488006,-1.5381470656459126,36.82468205935847,0.7827353063220319,61.95011337868481
persistence,test,2205,26.614442390022674,64.8820308092317,0.04922648344671197,39.44793900812019,0.8384945340063502,0.0
daily_persistence,test,2205,41.7285847782313,91.5426306884891,0.9934701115646252,61.85012795323262,1.314669296302237,62.81179138321995
pjm_day_ahead_lmp,test,2205,30.839164806349206,66.06615636047013,0.46905580226757326,45.70982455744749,0.971595449737423,63.718820861678005
