feature,coefficient_standardized_space,coefficient_original_scale
intercept,58.76117863168392,204.59887724448734
lmp_t_minus_1,7.78401397056261,0.10062684992183996
lmp_t_minus_24,-0.16362247535643476,-0.002125594343082206
load_t_minus_1,-10.823595035420228,-0.004007002465466918
load_t_minus_24,-2.4679661458321425,-0.0009130501448802496
congestion_t_minus_1,-2.68711160384971,-0.07133612793523836
congestion_t_minus_24,1.5158405636344987,0.0407875829900007
temp_t_minus_1,-46.14092653558102,-2.380281067178987
temp_t_minus_24,1.8345221288946796,0.0945443034420633
hour_sin,-22.156462998578544,-31.33277055221372
hour_cos,-26.982057064426716,-38.15985335639899
day_sin,0.1691084650997327,0.239559603266658
day_cos,3.0284254195536247,4.275693166254779
month_sin,-0.6740217577050606,-1.0974169785044678
month_cos,5.804406402741183,7.992742808742041
is_weekend_binary,-0.8943084335350996,-1.9776870027805362
lmp_sma_24,-0.8910175125073208,-0.021272479162833077
lmp_sma_6,-3.037258034514457,-0.05063787144788664
load_sma_24,3.1342980040122015,0.0014697334292298773
load_sma_6,-2.3007986158685214,-0.0008908172977816979
congestion_sma_24,0.3885680479991738,0.01943656207451202
congestion_sma_6,4.5216623201999795,0.15042981409808945
target_pjm_forecast_load_mw,-30.87719316139833,-0.0017323534321351318
target_dom_da_lmp,40.83301917862614,0.7613804375318681
target_load_x_congestion_t_minus_1,15.384619319680338,3.880112181679837e-06
target_load_x_hour_sin,21.524347343118755,0.0003090445555538501
target_load_x_hour_cos,28.659962860253266,0.00042154571359098795
temp_t_minus_1_squared,50.29286385667379,0.023257213741616274
congestion_t_minus_1_squared,4.2095357079653075,0.00039774225515048833
target_forecast_load_squared,37.278360692114326,1.018115583937649e-08
ln_target_dom_da_lmp,-1.5106849173664472,-2.5462773852160976
load_congestion_squared_over_lmp_forecast,-14.99679786932949,-1.3825487115794143e-11
