timestamp_utc,timestamp_et,region_id,source,rto,zone,pjm_actual_load_mw,pjm_forecast_load_mw,pjm_load_forecast_error_mw,pjm_load_forecast_error_pct,pjm_net_generation_mw,pjm_interchange_mw,dom_load_mw,load_peak_percentile_30d,load_peak_percentile_90d,is_top_5pct_load_90d,is_top_1pct_load_90d,reserve_margin_pct,emergency_alert,dom_rt_lmp,dom_da_lmp,dom_rt_da_spread,dom_energy_component,dom_congestion_component,dom_loss_component,western_hub_rt_lmp,western_hub_da_lmp,dom_basis_to_western_hub,is_negative_rt_lmp,is_negative_da_lmp,is_top_5pct_rt_lmp_90d,is_top_1pct_rt_lmp_90d,rolling_rt_lmp_percentile_30d,rolling_rt_lmp_percentile_90d,rolling_congestion_percentile_90d,is_top_5pct_congestion_90d,iad_temperature_f,iad_dewpoint_f,iad_relative_humidity,iad_wind_speed,iad_cloud_cover,iad_precipitation,iad_apparent_temperature_f,iad_cooling_degree_hour,iad_heating_degree_hour,iad_temp_rolling_3h,iad_temp_rolling_24h,iad_cooling_degree_rolling_24h,hour,day_of_week,month,is_weekend,date,forecast_origin_utc,forecast_origin_et,target_timestamp_utc,target_timestamp_et,actual_lmp,pjm_day_ahead_lmp_for_target,reference_lmp_t_minus_1,persistence_origin_lmp,daily_persistence_origin_minus_24,lmp_t_minus_1,lmp_t_minus_24,load_t_minus_1,load_t_minus_24,congestion_t_minus_1,congestion_t_minus_24,temp_t_minus_1,temp_t_minus_24,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,is_weekend_binary,lmp_sma_24,lmp_sma_6,load_sma_24,load_sma_6,congestion_sma_24,congestion_sma_6,split,target_pjm_forecast_load_mw,target_dom_da_lmp,target_load_x_congestion_t_minus_1,target_load_x_hour_sin,target_load_x_hour_cos,temp_t_minus_1_squared,congestion_t_minus_1_squared,target_forecast_load_squared,ln_target_dom_da_lmp,load_congestion_squared_over_lmp_forecast,ridge_v0_1_2_same_rows,ridge_v0_1_3
2025-01-02 05:00:00+00:00,2025-01-02 00:00:00-05:00,PJM_DOM,merged,PJM,DOM,90679.0,90085.0,594.0,0.6593772548148971,95453.0,4775.0,14263.76,0.6666666666666666,0.6666666666666666,False,False,,,28.716137,26.414643,2.301493999999998,27.84,-0.002038,0.874841,28.087716,25.748331,0.6284209999999995,False,False,False,False,0.8,0.8,0.4,False,35.4,21.1,56.0,11.7,100.0,0.0,25.3,0.0,29.6,37.1,42.09166666666667,0.0,0,Thursday,1,False,2025-01-02,2025-01-02 05:00:00+00:00,2025-01-02 00:00:00-05:00,2025-01-03 05:00:00+00:00,2025-01-03 00:00:00-05:00,29.590327,30.216003,24.188806,28.716137,20.088733,24.188806,20.088733,14401.645,12464.698,0.0,-0.001134,37.9,44.2,0.0,1.0,0.43388373911755823,-0.900968867902419,0.0,1.0,0,23.613389541666667,30.12591466666667,13544.428958333332,14977.784666666666,0.1249015,-0.0005549999999999815,train,95479.0,30.216003,0.0,0.0,95479.0,1436.4099999999999,0.0,9116239441.0,3.4083716846952976,0.0,34.17656901667202,37.884721797554114
2025-01-02 06:00:00+00:00,2025-01-02 01:00:00-05:00,PJM_DOM,merged,PJM,DOM,89689.0,87488.0,2201.0,2.515773591806876,94947.0,5259.0,14116.009,0.5806451612903226,0.5806451612903226,False,False,,,26.169013,25.05781,1.1112029999999997,25.33,0.0,0.83568,25.546258,24.316457,0.622754999999998,False,False,False,False,0.6923076923076923,0.6923076923076923,0.6153846153846154,False,34.8,19.8,54.0,12.8,73.0,0.0,24.0,0.0,30.200000000000003,36.03333333333333,41.68333333333333,0.0,1,Thursday,1,False,2025-01-02,2025-01-02 06:00:00+00:00,2025-01-02 01:00:00-05:00,2025-01-03 06:00:00+00:00,2025-01-03 01:00:00-05:00,31.906269,30.30983,28.716137,26.169013,20.452948,28.716137,20.452948,14263.76,12350.936,-0.002038,-0.006409,35.4,44.6,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,0.0,1.0,0,23.972864708333333,29.5427775,13619.389875,14798.213333333333,0.12486383333333334,0.0013881666666666853,train,93283.0,30.30983,-190.110754,24143.41698429844,90104.45885372316,1253.1599999999999,4.1534439999999994e-06,8701718089.0,3.411472082343986,1192.4216924492323,34.829848945060284,39.048044180095026
2025-01-02 07:00:00+00:00,2025-01-02 02:00:00-05:00,PJM_DOM,merged,PJM,DOM,89301.0,86495.0,2806.0,3.244118157118909,94325.0,5026.0,14208.8,0.5625,0.5625,False,False,,,26.766289,24.836568,1.9297210000000007,25.81,0.0,0.958789,26.041154,24.023748,0.7251350000000016,False,False,False,False,0.7407407407407407,0.7407407407407407,0.6111111111111112,False,33.0,17.6,53.0,11.8,42.0,0.0,22.4,0.0,32.0,34.4,41.229166666666664,0.0,2,Thursday,1,False,2025-01-02,2025-01-02 07:00:00+00:00,2025-01-02 02:00:00-05:00,2025-01-03 07:00:00+00:00,2025-01-03 02:00:00-05:00,28.772246,29.669607,26.169013,26.766289,19.545867,26.169013,19.545867,14116.009,12218.446,0.0,-0.000697,34.8,43.9,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.0,1.0,0,24.21103408333333,28.450974,13692.934583333334,14602.2195,0.125130875,0.0016590000000000187,train,92624.0,29.669607,0.0,46311.99999999999,80214.73700012986,1211.0399999999997,0.0,8579205376.0,3.390123188512275,0.0,34.28180938979971,38.621477587958275
2025-01-02 08:00:00+00:00,2025-01-02 03:00:00-05:00,PJM_DOM,merged,PJM,DOM,89725.0,87135.0,2590.0,2.9723991507431,94853.0,5130.0,14361.493,0.6060606060606061,0.6060606060606061,False,False,,,27.332115,24.918879,2.4132360000000013,26.35,-0.00222,0.981002,26.590424,23.941353,0.741691000000003,False,False,False,False,0.7857142857142857,0.7857142857142857,0.35714285714285715,False,32.5,17.8,54.0,10.7,9.0,0.0,22.4,0.0,32.5,33.43333333333333,40.77916666666666,0.0,3,Thursday,1,False,2025-01-02,2025-01-02 08:00:00+00:00,2025-01-02 03:00:00-05:00,2025-01-03 08:00:00+00:00,2025-01-03 03:00:00-05:00,31.208218,29.756131,26.766289,27.332115,19.711978,26.766289,19.711978,14208.8,12219.991,0.0,-0.002494,33.0,43.3,0.7071067811865475,0.7071067811865476,0.43388373911755823,-0.900968867902419,0.0,1.0,0,24.511885000000003,27.126121166666664,13775.866,14447.337166666666,0.12515991666666668,7.700000000001861e-05,train,92824.0,29.756131,0.0,65636.47985686008,65636.4798568601,1089.0,0.0,8616294976.0,3.393035194792855,0.0,34.332678836848274,39.509119934182536
2025-01-02 09:00:00+00:00,2025-01-02 04:00:00-05:00,PJM_DOM,merged,PJM,DOM,89969.0,89140.0,829.0,0.9299977563383441,95099.0,5133.0,14763.648,0.6470588235294118,0.6470588235294118,False,False,,,26.806762,26.705521,0.10124099999999814,25.98,-0.001476,0.824071,26.21466,25.354581,0.5921020000000006,False,False,False,False,0.7241379310344828,0.7241379310344828,0.4482758620689655,False,31.5,18.9,59.0,10.8,0.0,0.0,21.6,0.0,33.5,32.333333333333336,40.34166666666666,0.0,4,Thursday,1,False,2025-01-02,2025-01-02 09:00:00+00:00,2025-01-02 04:00:00-05:00,2025-01-03 09:00:00+00:00,2025-01-03 04:00:00-05:00,30.982212,29.959113,27.332115,26.806762,19.861132,27.332115,19.861132,14361.493,12352.585,-0.00222,-0.004479,32.5,42.0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.0,1.0,0,24.829390708333335,26.6985645,13865.09525,14334.880333333334,0.12517133333333333,-0.0007096666666666481,train,94424.0,29.959113,-209.62128,81773.58272694184,47212.00000000001,1056.25,4.928400000000001e-06,8915891776.0,3.399833552069226,1466.7016686655043,34.388057198055904,39.94359639155634
2025-01-02 10:00:00+00:00,2025-01-02 05:00:00-05:00,PJM_DOM,merged,PJM,DOM,89719.0,93201.0,-3482.0,-3.7360114161865217,94934.0,5218.0,15499.265,0.5714285714285714,0.5714285714285714,False,False,,,31.121859,31.787716,-0.665856999999999,30.11,-0.001618,1.018478,30.3394,29.19385,0.7824589999999993,False,False,False,False,0.8666666666666667,0.8666666666666667,0.43333333333333335,False,31.1,19.0,61.0,11.7,4.0,0.0,20.7,0.0,33.9,31.7,39.86666666666667,0.0,5,Thursday,1,False,2025-01-02,2025-01-02 10:00:00+00:00,2025-01-02 05:00:00-05:00,2025-01-03 10:00:00+00:00,2025-01-03 05:00:00-05:00,28.233893,32.194492,26.806762,31.121859,19.91261,26.806762,19.91261,14763.648,12674.883,-0.001476,-0.009031,31.5,42.5,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.0,1.0,0,25.118791958333333,26.663186999999997,13965.556208333333,14352.559166666668,0.12529645833333333,-0.0009556666666666481,train,98596.0,32.194492,-145.52769600000002,95236.42276879698,25518.522570928133,992.25,2.1785760000000004e-06,9721171216.0,3.471795382018012,657.824024776301,35.96823439342706,42.63065020890095
2025-01-02 11:00:00+00:00,2025-01-02 06:00:00-05:00,PJM_DOM,merged,PJM,DOM,93184.0,99175.0,-5991.0,-6.04083690446181,97847.0,4668.0,16435.073,0.7777777777777778,0.7777777777777778,False,False,,,31.840958,41.804037,-9.963079,30.87,0.0,0.975958,31.181327,38.354161,0.659631000000001,False,False,False,False,0.8709677419354839,0.8709677419354839,0.6451612903225806,False,30.7,18.9,61.0,11.3,7.0,0.0,20.5,0.0,34.3,31.099999999999998,39.31666666666667,0.0,6,Thursday,1,False,2025-01-02,2025-01-02 11:00:00+00:00,2025-01-02 06:00:00-05:00,2025-01-03 11:00:00+00:00,2025-01-03 06:00:00-05:00,79.074856,39.407082,31.121859,31.840958,19.589686,31.121859,19.589686,15499.265,13079.589,-0.001618,-0.050913,31.1,43.9,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.0,1.0,0,25.585843999999998,27.818695833333333,14083.238791666668,14535.495833333334,0.12560533333333332,-0.0012253333333333148,train,104867.0,39.407082,-169.67480600000002,104867.0,6.421251794309275e-12,967.21,2.617924e-06,10997087689.0,3.67394554634437,730.5676627144745,42.348043010715834,48.32167648042794
2025-01-02 12:00:00+00:00,2025-01-02 07:00:00-05:00,PJM_DOM,merged,PJM,DOM,99584.0,103630.0,-4046.0,-3.904274823892695,102894.0,3317.0,17105.747,0.972972972972973,0.972972972972973,True,False,,,59.861129,50.263913,9.597215999999996,58.3,-0.024009,1.582638,58.934442,46.66937,0.9266870000000011,False,False,True,True,1.0,1.0,0.09375,False,30.5,18.5,61.0,11.4,4.0,0.0,20.2,0.0,34.5,30.766666666666666,38.8125,0.0,7,Thursday,1,False,2025-01-02,2025-01-02 12:00:00+00:00,2025-01-02 07:00:00-05:00,2025-01-03 12:00:00+00:00,2025-01-03 07:00:00-05:00,89.819951,45.788366,31.840958,59.861129,20.153718,31.840958,20.153718,16435.073,13435.15,0.0,0.012341,30.7,42.6,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.0,1.0,0,26.096313666666664,28.339499333333332,14223.050624999998,14897.381333333333,0.12772670833333333,-0.0008856666666666482,train,109495.0,45.788366,0.0,105764.04834952153,-28339.391343500498,942.49,0.0,11989155025.0,3.8240300413849893,0.0,46.9951423207866,50.2562934946299
2025-01-02 13:00:00+00:00,2025-01-02 08:00:00-05:00,PJM_DOM,merged,PJM,DOM,104586.0,104130.0,456.0,0.4379141457793143,107662.0,3086.0,16932.929,1.0,1.0,True,True,,,40.813058,40.04181,0.7712479999999999,39.93,-0.014342,0.894901,40.295363,38.077913,0.5176949999999962,False,False,True,False,0.9696969696969697,0.9696969696969697,0.12121212121212122,False,34.1,19.6,55.0,10.3,100.0,0.0,24.3,0.0,30.9,31.76666666666667,38.4125,0.0,8,Thursday,1,False,2025-01-02,2025-01-02 13:00:00+00:00,2025-01-02 08:00:00-05:00,2025-01-03 13:00:00+00:00,2025-01-03 08:00:00-05:00,64.91636,39.676111,59.861129,40.813058,19.51547,59.861129,19.51547,17105.747,13374.739,-0.024009,0.016202,30.5,43.7,0.8660254037844387,-0.49999999999999983,0.43388373911755823,-0.900968867902419,0.0,1.0,0,27.750789124999997,33.954852,14375.992166666669,15395.671,0.126212125,-0.004887166666666648,train,110099.0,39.676111,-2643.366891,95348.53093126291,-55049.49999999998,930.25,0.000576432081,12121789801.0,3.6807492685408882,176110.72114489766,44.86307148156792,44.063029406017655
2025-01-02 14:00:00+00:00,2025-01-02 09:00:00-05:00,PJM_DOM,merged,PJM,DOM,105539.0,102480.0,3059.0,2.9849726775956285,109157.0,3624.0,16290.259,1.0,1.0,True,True,,,34.226796,35.446403,-1.2196069999999963,33.92,-0.049885,0.357514,34.236214,34.586769,-0.009417999999996596,False,False,False,False,0.9117647058823529,0.9117647058823529,0.058823529411764705,False,35.2,19.0,51.0,13.0,100.0,0.0,24.3,0.0,29.799999999999997,33.26666666666667,38.045833333333334,0.0,9,Thursday,1,False,2025-01-02,2025-01-02 14:00:00+00:00,2025-01-02 09:00:00-05:00,2025-01-03 14:00:00+00:00,2025-01-03 09:00:00-05:00,47.991496,34.483515,40.813058,34.226796,18.519933,40.813058,18.519933,16932.929,13173.38,-0.014342,-0.008257,34.1,44.0,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,0.0,1.0,0,28.638188625,36.29598016666667,14524.250083333332,15849.6925,0.12493945833333332,-0.007277499999999981,train,108311.0,34.483515,-1553.396362,76587.44257709615,-76587.44257709614,1162.8100000000002,0.00020569296400000002,11731272721.0,3.540481383755094,69976.6325293357,38.27798241716424,33.10139985366178
