feature,coefficient_standardized_space,coefficient_original_scale
target_load_x_congestion_t_minus_1,15.384619319680338,3.880112181679837e-06
target_load_x_hour_sin,21.524347343118755,0.0003090445555538501
target_load_x_hour_cos,28.659962860253266,0.00042154571359098795
temp_t_minus_1_squared,50.29286385667379,0.023257213741616274
congestion_t_minus_1_squared,4.2095357079653075,0.00039774225515048833
target_forecast_load_squared,37.278360692114326,1.018115583937649e-08
ln_target_dom_da_lmp,-1.5106849173664472,-2.5462773852160976
load_congestion_squared_over_lmp_forecast,-14.99679786932949,-1.3825487115794143e-11
