model,split,n,mae,rmse,bias_mean_error,wape_pct,mase,directional_accuracy_pct
ridge_v0_1_1,test,2185,36.5333698439971,74.51512788225172,-7.419029680105311,54.60727139362329,1.1434380122854113,61.144164759725406
persistence_origin_lmp,test,2185,41.42592624942792,91.54911095877146,0.7875374192219676,61.92028841288055,1.2965674661274387,64.98855835240275
daily_persistence_origin_minus_24,test,2185,46.140371329061786,97.8046210559401,1.6937957867276894,68.9670783212087,1.4441223107504306,64.25629290617849
pjm_day_ahead_lmp_for_target,test,2185,30.38450180640732,65.47451010354267,1.193658160640732,45.416416371870824,0.9509879460383139,75.51487414187643
