feature,coefficient_standardized_space,coefficient_original_scale
intercept,58.76117863168363,-52.04619192681839
lmp_t_minus_1,19.879874644247675,0.2569945493233891
lmp_t_minus_24,-1.5805009218516703,-0.020532043726913363
load_t_minus_1,37.15513413543187,0.013755199968052873
load_t_minus_24,-5.60976156406495,-0.00207539054677192
congestion_t_minus_1,-0.7396205397199093,-0.01963508526009865
congestion_t_minus_24,7.660229502811171,0.20611814597389208
temp_t_minus_1,8.137737507667534,0.4198030679820945
temp_t_minus_24,2.5684485126497725,0.13236808198197392
hour_sin,-0.38694872395561186,-0.5472071776055096
hour_cos,1.62801767190625,2.3024529031729903
day_sin,3.070036773158842,4.349024106854989
day_cos,8.366377260555021,11.812099399343014
month_sin,2.4069890040691075,3.918969335845768
month_cos,11.094974939040593,15.277924218971002
is_weekend_binary,2.428860848599266,5.371219091437479
lmp_sma_24,10.616809408058604,0.2534696049611497
lmp_sma_6,-4.4620578743177255,-0.0743924653306093
load_sma_24,-6.723900754014982,-0.003152968128859941
load_sma_6,-13.076026949144376,-0.005062742524364894
congestion_sma_24,-6.531492228243753,-0.3267117684718185
congestion_sma_6,4.398864630655767,0.14634449496063698
