feature,coefficient_standardized_space,coefficient_original_scale
intercept,58.761178631683705,-5.771443818802311
lmp_t_minus_1,9.558625179685215,0.12356791047046183
lmp_t_minus_24,-2.4340122528771855,-0.031619877797583115
load_t_minus_1,-0.5593875928031534,-0.00020709084700403472
load_t_minus_24,-3.680546752688864,-0.0013616571489265736
congestion_t_minus_1,1.8508798293175197,0.049136254745722655
congestion_t_minus_24,4.260526299228007,0.11464040096287074
temp_t_minus_1,2.3337157222457106,0.12038985271688911
temp_t_minus_24,2.2106932731669278,0.11393073560881609
hour_sin,0.32696769567312345,0.4623844422807593
hour_cos,0.8373473748354471,1.1842333946514918
day_sin,-0.37837649099920845,-0.5360093713566787
day_cos,3.104698756934057,4.383379948071922
month_sin,0.19249470637625032,0.31341267048825316
month_cos,5.880897720604694,8.098072344333493
is_weekend_binary,-0.08920603886210317,-0.19727156427424286
lmp_sma_24,1.7854445343603706,0.04262635820332783
lmp_sma_6,-2.1750964021052956,-0.03626371244884246
load_sma_24,2.8419711407355632,0.0013326556648725625
load_sma_6,-1.9225855241020564,-0.0007443817244684371
congestion_sma_24,-2.0175842233827512,-0.10092157911660907
congestion_sma_6,4.033559991481827,0.13419128557244117
target_pjm_forecast_load_mw,2.0276732214077446,0.0001137618515385525
target_dom_da_lmp,44.703191176948714,0.8335444192476471
