model,split,n,mae,rmse,bias_mean_error,wape_pct,mase,directional_accuracy_pct
ridge_v0_1_2,test,2155,32.6283867957008,65.78469573324733,4.140155176398438,48.49875918222884,1.02121807818629,72.94663573085846
persistence_origin_lmp,test,2155,41.76887977030162,92.14693643284268,0.5811276292343384,62.08516694298366,1.3073013812819574,64.91879350348027
daily_persistence_origin_minus_24,test,2155,46.610538104408356,98.4622154688605,1.7043204867749415,69.2817967689919,1.458837804156612,64.17633410672853
pjm_day_ahead_lmp_for_target,test,2155,30.637227735498843,65.90290238863652,1.0474457874709981,45.539104929050374,0.9588978770205191,75.49883990719258
